n_estimators,oob_score,train_accuracy
1,0.3634686346863469,0.9826568265682657
6,0.9081180811808118,0.9996309963099631
11,0.977859778597786,1.0
16,0.9900369003690037,1.0
21,0.992619926199262,1.0
26,0.9955719557195571,1.0
31,0.9948339483394834,1.0
36,0.9944649446494465,1.0
41,0.9948339483394834,1.0
46,0.9952029520295202,1.0
51,0.9955719557195571,1.0
56,0.9966789667896679,1.0
61,0.9959409594095942,1.0
66,0.9970479704797048,1.0
71,0.9970479704797048,1.0
76,0.996309963099631,1.0
81,0.9970479704797048,1.0
86,0.9970479704797048,1.0
91,0.9970479704797048,1.0
96,0.9970479704797048,1.0
